From	To	Species	Gene Name
ENSG00000198521	NM_003423	Homo sapiens	zinc finger protein 43
ESNG12432132443	NM_017617	Homo sapiens	Notch 1
ENSG00000163884	NM_014079	Homo sapiens	Kruppel-like factor 15
ENSG00000169946	NM_012082	Homo sapiens	zinc finger protein, multitype 2
ENSG00000160685	NM_015872	Homo sapiens	zinc finger and BTB domain containing 7B
ENSG00000167981	NM_152457	Homo sapiens	zinc finger protein 597
ENSG00000164330	NM_024007	Homo sapiens	early B-cell factor 1
ENSG00000167800	NM_005995	Homo sapiens	T-box 10
ENSG00000170616	NM_031309	Homo sapiens	scratch homolog 1, zinc finger protein (Drosophila)
ENSG00000171223	NM_002229	Homo sapiens	jun B proto-oncogene
ENSG00000170178	NM_021193	Homo sapiens	homeobox D12
ENSG00000126778	NM_005982	Homo sapiens	SIX homeobox 1
ENSG00000171425	NM_016535	Homo sapiens	zinc finger protein 581
ENSG00000170581	NM_005419	Homo sapiens	signal transducer and activator of transcription 2, 113kDa
ENSG00000185219	NM_181489	Homo sapiens	zinc finger protein 445
ENSG00000092607	NM_152380	Homo sapiens	T-box 15
ENSG00000100968	NM_001136022	Homo sapiens	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
ENSG00000100968	NM_004554	Homo sapiens	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
ENSG00000104903	NM_005583	Homo sapiens	lymphoblastic leukemia derived sequence 1
ENSG00000185404	NM_138402	Homo sapiens	SP140 nuclear body protein-like
ENSG00000198914	NM_006236	Homo sapiens	POU class 3 homeobox 3
ENSG00000184939	NM_133458	Homo sapiens	zinc finger protein 90 homolog (mouse)
ENSG00000198911	NM_004599	Homo sapiens	sterol regulatory element binding transcription factor 2
ENSG00000109787	NM_016531	Homo sapiens	Kruppel-like factor 3 (basic)
ENSG00000184937	NM_024426	Homo sapiens	Wilms tumor 1
ENSG00000184937	NM_024425	Homo sapiens	Wilms tumor 1
ENSG00000184937	NM_024424	Homo sapiens	Wilms tumor 1
ENSG00000184937	NM_000378	Homo sapiens	Wilms tumor 1
ENSG00000136870	NM_197977	Homo sapiens	zinc finger protein 189
ENSG00000136870	NM_003452	Homo sapiens	zinc finger protein 189
ENSG00000197857	NM_001164276	Homo sapiens	zinc finger protein 44
ENSG00000197857	NM_016264	Homo sapiens	zinc finger protein 44
ENSG00000204060	XM_002342102	Homo sapiens	forkhead box protein O6
ENSG00000204060	XM_002346379	Homo sapiens	forkhead box protein O6
ENSG00000080298	NM_134428	Homo sapiens	regulatory factor X, 3 (influences HLA class II expression)
ENSG00000080298	NM_002919	Homo sapiens	regulatory factor X, 3 (influences HLA class II expression)
ENSG00000141905	NM_005597	Homo sapiens	nuclear factor I/C (CCAAT-binding transcription factor)
ENSG00000141905	NM_205843	Homo sapiens	nuclear factor I/C (CCAAT-binding transcription factor)
ENSG00000064195	NM_005220	Homo sapiens	distal-less homeobox 3
ENSG00000185002	NM_173560	Homo sapiens	regulatory factor X, 6
ENSG00000169957	NM_024671	Homo sapiens	zinc finger protein 768
ENSG00000109381	NM_006874	Homo sapiens	E74-like factor 2 (ets domain transcription factor)
ENSG00000109381	NM_201999	Homo sapiens	E74-like factor 2 (ets domain transcription factor)
ENSG00000196597	NM_001001662	Homo sapiens	zinc finger protein 782
ENSG00000165702	NM_001135031	Homo sapiens	growth factor independent 1B transcription repressor
ENSG00000165702	NM_004188	Homo sapiens	growth factor independent 1B transcription repressor
ENSG00000196092	NM_016734	Homo sapiens	paired box 5
ENSG00000185610	NM_001004329	Homo sapiens	developing brain homeobox 2
ENSG00000205922	NM_001080488	Homo sapiens	one cut homeobox 3
ENSG00000170374	NM_152860	Homo sapiens	Sp7 transcription factor
ENSG00000170608	NM_004497	Homo sapiens	forkhead box A3
ENSG00000205927	NM_005806	Homo sapiens	oligodendrocyte lineage transcription factor 2
ENSG00000170370	NM_001165924	Homo sapiens	empty spiracles homeobox 2
ENSG00000170370	NM_004098	Homo sapiens	empty spiracles homeobox 2
ENSG00000198517	NM_002360	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)
ENSG00000110851	NM_012406	Homo sapiens	PR domain containing 4
ENSG00000054267	NM_016374	Homo sapiens	AT rich interactive domain 4B (RBP1-like)
ENSG00000054267	NM_031371	Homo sapiens	AT rich interactive domain 4B (RBP1-like)
ENSG00000169953	NM_152584	Homo sapiens	heat shock transcription factor, Y-linked 1; heat shock transcription factor, Y linked 2
ENSG00000169953	NM_033108	Homo sapiens	heat shock transcription factor, Y-linked 1; heat shock transcription factor, Y linked 2
ENSG00000169953	NM_001001877	Homo sapiens	heat shock transcription factor, Y-linked 1; heat shock transcription factor, Y linked 2
ENSG00000169953	NM_153716	Homo sapiens	heat shock transcription factor, Y-linked 1; heat shock transcription factor, Y linked 2
ENSG00000106261	NM_003439	Homo sapiens	zinc finger with KRAB and SCAN domains 1
ENSG00000128709	NM_014213	Homo sapiens	homeobox D9
ENSG00000169951	NM_033410	Homo sapiens	zinc finger protein 764
ENSG00000137834	NM_001142861	Homo sapiens	SMAD family member 6
ENSG00000137834	NM_005585	Homo sapiens	SMAD family member 6
ENSG00000100146	NM_006941	Homo sapiens	SRY (sex determining region Y)-box 10
ENSG00000065970	NM_018416	Homo sapiens	forkhead box J2
ENSG00000148200	NM_033334	Homo sapiens	nuclear receptor subfamily 6, group A, member 1
ENSG00000148200	NM_001489	Homo sapiens	nuclear receptor subfamily 6, group A, member 1
ENSG00000196793	NM_001099283	Homo sapiens	zinc finger protein 239
ENSG00000196793	NM_005674	Homo sapiens	zinc finger protein 239
ENSG00000196793	NM_001099284	Homo sapiens	zinc finger protein 239
