From	To	Species	Gene Name
ENSMUSG00000009248	NM_008554	Mus musculus	achaete-scute complex homolog 2 (Drosophila)
ENSMUSG00000042821	NM_011427	Mus musculus	snail homolog 1 (Drosophila)
ENSMUSG00000030543	NM_008589	Mus musculus	mesoderm posterior 2
ENSMUSG00000038518	NM_021878	Mus musculus	jumonji, AT rich interactive domain 2
ENSMUSG00000038797	NM_009553	Mus musculus	zinc finger and SCAN domain containing 2
ENSMUSG00000030544	NM_008588	Mus musculus	mesoderm posterior 1
ENSMUSG00000048756	NM_019740	Mus musculus	forkhead box O3
ENSMUSG00000063281	NM_011755	Mus musculus	zinc finger protein 35
ENSMUSG00000068302	NM_001007472	Mus musculus	notochord homolog (Xenopus laevis)
ENSMUSG00000035187	NM_144955	Mus musculus	NK6 homeobox 1
ENSMUSG00000053080	NM_175381	Mus musculus	RIKEN cDNA 2700081O15 gene
ENSMUSG00000023781	NM_033041	Mus musculus	hairy and enhancer of split 7 (Drosophila)
ENSMUSG00000018501	NM_011308	Mus musculus	nuclear receptor co-repressor 1
ENSMUSG00000046179	NM_001013368	Mus musculus	E2F transcription factor 8
ENSMUSG00000019564	NM_007880	Mus musculus	AT rich interactive domain 3A (BRIGHT-like)
ENSMUSG00000061517	NM_177753	Mus musculus	SRY-box containing gene 21
ENSMUSG00000041565	NM_177278	Mus musculus	l(3)mbt-like 4 (Drosophila)
ENSMUSG00000063080	NM_029588	Mus musculus	predicted gene 14501; RIKEN cDNA 1700012L04 gene
ENSMUSG00000063080	XM_907421	Mus musculus	predicted gene 14501; RIKEN cDNA 1700012L04 gene
ENSMUSG00000063080	XM_622011	Mus musculus	predicted gene 14501; RIKEN cDNA 1700012L04 gene
ENSMUSG00000063080	NM_001085537	Mus musculus	predicted gene 14501; RIKEN cDNA 1700012L04 gene
ENSMUSG00000040033	NM_019963	Mus musculus	signal transducer and activator of transcription 2
ENSMUSG00000050197	XM_356401	Mus musculus	reproductive homeobox 13
ENSMUSG00000050197	XM_976021	Mus musculus	reproductive homeobox 13
ENSMUSG00000025612	NM_007520	Mus musculus	BTB and CNC homology 1
ENSMUSG00000023391	NM_010054	Mus musculus	distal-less homeobox 2
ENSMUSG00000042448	NM_010467	Mus musculus	homeo box D1
ENSMUSG00000000690	NM_008269	Mus musculus	homeo box B6
ENSMUSG00000037169	NM_008709	Mus musculus	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
ENSMUSG00000060630	NM_001126489	Mus musculus	zinc finger protein 735
ENSMUSG00000060630	XM_111107	Mus musculus	zinc finger protein 735
ENSMUSG00000060630	XM_910878	Mus musculus	zinc finger protein 735
ENSMUSG00000067942	NM_145483	Mus musculus	zinc finger protein 160
ENSMUSG00000046185	NM_023750	Mus musculus	zinc finger protein 84
ENSMUSG00000046185	XM_001480149	Mus musculus	zinc finger protein 84
ENSMUSG00000046185	XM_001480155	Mus musculus	zinc finger protein 84
ENSMUSG00000048763	NM_001079869	Mus musculus	homeo box B3
ENSMUSG00000048763	NM_010458	Mus musculus	homeo box B3
ENSMUSG00000042812	NM_010426	Mus musculus	forkhead box F1a
ENSMUSG00000074829	XM_001472446	Mus musculus	RIKEN cDNA 2010315B03 gene
ENSMUSG00000074829	XM_904559	Mus musculus	RIKEN cDNA 2010315B03 gene
ENSMUSG00000039377	NM_008250	Mus musculus	H2.0-like homeobox
ENSMUSG00000025215	NM_021901	Mus musculus	T-cell leukemia, homeobox 1
ENSMUSG00000068130	XM_001481090	Mus musculus	zinc finger protein 442
ENSMUSG00000025216	NM_010691	Mus musculus	ladybird homeobox homolog 1 (Drosophila)
ENSMUSG00000025880	NM_001042660	Mus musculus	MAD homolog 7 (Drosophila)
ENSMUSG00000019768	NM_007956	Mus musculus	estrogen receptor 1 (alpha)
ENSMUSG00000068134	NM_023266	Mus musculus	zinc finger protein 120
ENSMUSG00000068134	NM_181266	Mus musculus	zinc finger protein 120
ENSMUSG00000006270	NM_009501	Mus musculus	ventral anterior homeobox containing gene 1
ENSMUSG00000041578	NM_007770	Mus musculus	cone-rod homeobox containing gene
ENSMUSG00000041578	NM_001113330	Mus musculus	cone-rod homeobox containing gene
ENSMUSG00000053390	NM_001045559	Mus musculus	RIKEN cDNA C920016K16 gene
ENSMUSG00000053985	NM_011748	Mus musculus	zinc finger protein 14
ENSMUSG00000053985	NM_178733	Mus musculus	zinc finger protein 14
ENSMUSG00000059325	NM_175606	Mus musculus	HOP homeobox
ENSMUSG00000059325	NM_001159900	Mus musculus	HOP homeobox
ENSMUSG00000059325	NM_001159901	Mus musculus	HOP homeobox
ENSMUSG00000047638	NM_001163504	Mus musculus	nuclear receptor subfamily 1, group H, member 4
ENSMUSG00000047638	NM_001163700	Mus musculus	nuclear receptor subfamily 1, group H, member 4
ENSMUSG00000047638	NM_009108	Mus musculus	nuclear receptor subfamily 1, group H, member 4
ENSMUSG00000037174	NM_023502	Mus musculus	E74-like factor 2
ENSMUSG00000042439	NM_207255	Mus musculus	zinc finger protein 532
ENSMUSG00000025602	NM_030713	Mus musculus	zinc finger protein 202
ENSMUSG00000029697	XM_133029	Mus musculus	Fez family zinc finger 1
ENSMUSG00000029697	XM_912486	Mus musculus	Fez family zinc finger 1
ENSMUSG00000029697	NM_028462	Mus musculus	Fez family zinc finger 1
ENSMUSG00000025498	NM_016850	Mus musculus	interferon regulatory factor 7
ENSMUSG00000040433	NM_175537	Mus musculus	zinc finger and BTB domain containing 38
ENSMUSG00000034701	NM_010894	Mus musculus	neurogenic differentiation 1; neurogenic differentiation 5
ENSMUSG00000025225	NM_019408	Mus musculus	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2, p49/p100
ENSMUSG00000033080	NM_054068	Mus musculus	visual system homeobox 1 homolog (zebrafish)
ENSMUSG00000067034	NM_011765	Mus musculus	zinc finger protein 97; cDNA sequence BC018101
ENSMUSG00000067034	NM_001163919	Mus musculus	zinc finger protein 97; cDNA sequence BC018101
ENSMUSG00000067034	NM_001005358	Mus musculus	zinc finger protein 97; cDNA sequence BC018101
ENSMUSG00000038539	NM_030693	Mus musculus	activating transcription factor 5
ENSMUSG00000062627	XM_001479195	Mus musculus	similar to mKIAA1915 protein; myb-like, SWIRM and MPN domains 1
ENSMUSG00000062627	NM_177239	Mus musculus	similar to mKIAA1915 protein; myb-like, SWIRM and MPN domains 1
ENSMUSG00000054310	NM_027802	Mus musculus	oocyte specific homeobox 1; oocyte specific homeobox 2; similar to OBOX2
ENSMUSG00000047643	XM_484312	Mus musculus	predicted gene 5454
ENSMUSG00000026279	NM_025920	Mus musculus	THAP domain containing 4
ENSMUSG00000046962	NM_001081684	Mus musculus	zinc finger protein 295
ENSMUSG00000046962	NM_175428	Mus musculus	zinc finger protein 295
ENSMUSG00000046962	NM_001081685	Mus musculus	zinc finger protein 295
ENSMUSG00000056459	NM_028356	Mus musculus	zinc finger and BTB domain containing 25
ENSMUSG00000056459	NM_001172104	Mus musculus	zinc finger and BTB domain containing 25
ENSMUSG00000014704	NM_010451	Mus musculus	homeo box A2
ENSMUSG00000063060	NM_011446	Mus musculus	SRY-box containing gene 7
ENSMUSG00000040054	NM_054078	Mus musculus	bromodomain adjacent to zinc finger domain, 2A
ENSMUSG00000041583	NM_145710	Mus musculus	predicted gene 5496; oocyte specific homeobox 6
ENSMUSG00000074406	NM_170759	Mus musculus	zinc finger protein 628
ENSMUSG00000026077	NM_008719	Mus musculus	neuronal PAS domain protein 2
ENSMUSG00000074405	NM_001033383	Mus musculus	RIKEN cDNA 6430526N21 gene
ENSMUSG00000041309	NM_183248	Mus musculus	NK6 homeobox 2
ENSMUSG00000022286	NM_026496	Mus musculus	grainyhead-like 2 (Drosophila)
ENSMUSG00000025229	NM_008852	Mus musculus	paired-like homeodomain transcription factor 3
ENSMUSG00000046792	NM_001013012	Mus musculus	zinc finger protein 787
ENSMUSG00000045598	NM_146201	Mus musculus	zinc finger protein 553
ENSMUSG00000020137	NM_025780	Mus musculus	THAP domain containing, apoptosis associated protein 2
ENSMUSG00000054939	NM_001081217	Mus musculus	zinc finger protein 174
ENSMUSG00000030510	XM_907730	Mus musculus	LAG1 homolog, ceramide synthase 3
ENSMUSG00000030510	XM_620510	Mus musculus	LAG1 homolog, ceramide synthase 3
ENSMUSG00000030510	NM_001164201	Mus musculus	LAG1 homolog, ceramide synthase 3
ENSMUSG00000045591	NM_053008	Mus musculus	oligodendrocyte transcription factor 3
ENSMUSG00000038932	NM_178254	Mus musculus	transcription factor-like 5 (basic helix-loop-helix)
ENSMUSG00000054931	NM_001039115	Mus musculus	predicted gene 11272
ENSMUSG00000019789	NM_013904	Mus musculus	hairy/enhancer-of-split related with YRPW motif 2
ENSMUSG00000045518	NM_139226	Mus musculus	one cut domain, family member 3
ENSMUSG00000045519	NM_001004190	Mus musculus	zinc finger protein 560
ENSMUSG00000039191	NM_001080927	Mus musculus	recombination signal binding protein for immunoglobulin kappa J region
ENSMUSG00000039191	NM_001080928	Mus musculus	recombination signal binding protein for immunoglobulin kappa J region
ENSMUSG00000039191	NM_009035	Mus musculus	recombination signal binding protein for immunoglobulin kappa J region
ENSMUSG00000003282	NM_019969	Mus musculus	pleiomorphic adenoma gene 1
ENSMUSG00000045515	NM_008900	Mus musculus	POU domain, class 3, transcription factor 3
ENSMUSG00000042414	NM_001081209	Mus musculus	PR domain containing 14
ENSMUSG00000079681	NM_001103168	Mus musculus	GATA-like 1
ENSMUSG00000079681	XM_001475715	Mus musculus	GATA-like 1
ENSMUSG00000079681	XM_001475156	Mus musculus	GATA-like 1
ENSMUSG00000019982	NM_010848	Mus musculus	myeloblastosis oncogene
ENSMUSG00000030796	NM_011565	Mus musculus	TEA domain family member 2
ENSMUSG00000027552	NM_007892	Mus musculus	E2F transcription factor 5
ENSMUSG00000027551	NM_009564	Mus musculus	zinc finger protein 64
ENSMUSG00000040270	NM_007521	Mus musculus	BTB and CNC homology 2
ENSMUSG00000040270	NM_001109661	Mus musculus	BTB and CNC homology 2
ENSMUSG00000046982	NM_001081300	Mus musculus	teashirt zinc finger family member 1
